date,CAR_ersst,NTA_ersst,aao,ammsst,amon_sm,amon_sm_long,amon_us,amon_us_long,ao,atltri,brazilrain,censo,censo_long,ea,eofpac,epo,espi,gmsst,hurr,indiamon,ipotpi_hadisst2,jonesnao,meiv2,nao,nina1_anom,nina34_anom,nina3_anom,nina4_anom,noi,np,oni,pdo,pna,qbo,sahelrain,soi,solar,swmonsoon,tna,tni,trend,tsa,whwp,wp,precipitation
1948-01-01,,,,0.66,0.101,0.101,-0.021,-0.021,,0.249,-92.0,0.26,0.25,,-0.287,,,0.25,0.0,318.0,0.21,1.53,,,,,,,0.971,1009.12,,-0.11,,-4.44,-5.0,,1557.0,0.38,0.16,0.454,1.0,-0.22,-0.17,,108.1699
1948-02-01,,,,0.0,0.102,0.102,-0.033,-0.033,,-0.068,-80.0,0.43,0.42,,-0.083,,,-0.08,0.0,58.0,0.05,0.66,,,,,,,4.704,1014.0,,-0.74,,-5.78,7.0,,1343.0,1.6,-0.01,0.047,2.0,-0.12,-0.18,,52.6629
1948-03-01,,,,1.0,0.102,0.102,0.023,0.023,,0.204,99.0,0.72,0.71,,0.366,,,-0.2,0.0,37.0,-0.13,3.48,,,,,,,-0.896,1016.66,,-0.03,,-7.31,-6.0,,1355.0,1.12,0.25,-0.135,3.0,0.04,0.26,,150.4337
1948-04-01,,,,1.86,0.106,0.106,-0.075,-0.075,,-0.371,-46.0,0.21,0.21,,0.016,,,-0.07,0.0,22.0,0.03,-0.48,,,,,,,-3.557,1020.68,,-1.33,,-6.7,161.0,,2081.0,0.26,-0.13,-0.469,4.0,-0.21,-0.03,,222.6304
1948-05-01,,,,1.3,0.11,0.11,-0.009,-0.009,,-0.585,-9.0,0.24,0.24,,0.073,,,0.05,0.0,17.0,0.05,-1.23,,,,,,,-1.479,1016.02,,-0.23,,-5.57,9.0,,2265.0,0.86,-0.07,-0.95,5.0,-0.4,-0.46,,72.5689
1948-06-01,,,,2.51,0.113,0.113,0.05,0.05,,-0.363,48.0,0.41,0.4,,-0.048,,,0.11,0.0,1395.0,-0.04,-0.27,,,,,,,-2.252,1015.45,,0.08,,-4.73,284.0,,1955.0,1.17,0.12,-1.004,6.0,-0.64,-0.2,,38.3427
1948-07-01,,,,1.63,0.116,0.116,-0.045,-0.045,,-0.379,-36.0,0.08,0.09,,-0.551,,,-0.07,0.0,3210.0,-0.25,0.59,,,,,,,-1.277,1017.24,,-0.92,,-5.51,69.0,,1828.0,1.48,-0.06,-1.109,7.0,-0.4,-1.6,,3.8564
1948-08-01,,,,0.55,0.118,0.118,-0.028,-0.028,,-0.36,-11.0,0.25,0.24,,-0.165,,,-0.06,5.5,2603.0,-0.73,0.34,,,,,,,0.96,1017.84,,-1.56,,-7.22,277.0,,1728.0,2.02,-0.19,-0.91,8.0,-0.53,-2.42,,5.1663
1948-09-01,,,,-0.48,0.121,0.121,-0.058,-0.058,,-0.407,37.0,0.45,0.45,,-0.537,,,0.01,10.0,1721.0,-0.44,0.82,,,,,,,0.369,1015.48,,-1.74,,-7.24,-105.0,,1637.0,0.67,-0.22,-0.415,9.0,-0.41,-1.81,,16.2825
1948-10-01,,,,-0.24,0.121,0.121,0.002,0.002,,0.174,18.0,-0.64,-0.64,,-0.982,,,0.06,4.5,280.0,-0.79,0.43,,,,,,,-0.315,1010.82,,-1.32,,-6.07,-50.0,,1591.0,1.35,-0.1,-0.312,10.0,-0.42,-2.02,,27.0548
1948-11-01,,,,0.72,0.122,0.122,0.129,0.129,,0.187,-65.0,-0.21,-0.21,,-0.175,,,-0.12,0.75,840.0,-0.13,2.64,,,,,,,5.021,1010.59,,-0.89,,-6.28,-10.0,,1654.0,0.15,0.08,-0.354,11.0,-0.35,-1.78,,63.5028
1948-12-01,,,,-0.93,0.123,0.123,0.057,0.057,,-0.171,-87.0,0.58,0.58,,-0.197,,,-0.16,0.0,5.0,0.31,1.09,,,,,,,2.2,1014.17,,-1.7,,-8.18,-4.0,,1933.0,1.19,0.0,-0.304,12.0,-0.21,-0.28,,141.8453
1949-01-01,,,,-0.2,0.123,0.123,0.148,0.148,,-0.105,-103.0,0.18,0.17,,-0.646,,,0.03,0.0,10.0,-0.65,1.5,,,,,,,5.43,1012.0,,-2.01,,-9.77,1.0,,1835.0,2.38,-0.24,0.018,13.0,-0.19,-0.13,,40.4654
1949-02-01,,,,-0.47,0.122,0.122,0.155,0.155,,-0.078,-29.0,0.13,0.13,,0.023,,,-0.28,0.0,18.0,-0.16,4.01,,,,,,,4.361,1010.89,,-3.6,,-11.8,-7.0,,2202.0,0.65,-0.15,0.049,14.0,0.01,-0.13,,99.7112
1949-03-01,,,,-1.13,0.12,0.12,0.033,0.033,,-0.627,53.0,-0.55,-0.55,,-1.024,,,-0.08,0.0,5.0,-0.41,-0.96,,,,,,,-1.439,1006.94,,-1.0,,-11.72,15.0,,2039.0,0.63,-0.31,0.251,15.0,-0.01,-0.29,,209.4276
